"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LINC00271",191.565464538566,-1.90289925642027,0.333855871850185,-5.69976273256675,1.19974290249723e-08,0.000162157250701525
"CCDC30",1909.53051483888,-1.71729505179171,0.324318678319775,-5.29508525592374,1.18960896379601e-07,0.000803937737733343
"RPS15A",4055.1725548621,-1.52259249778115,0.292539808099521,-5.20473609274799,1.94272493242619e-07,0.000875262339555744
"DNAH14",740.901156261916,1.52940512072718,0.301897849020803,5.0659689218978,4.06328209510503e-07,0.00137298301993599
"RPS25",2375.43497140157,-1.26423539355098,0.25183939215141,-5.02000653174582,5.16697225558068e-07,0.00139673594012857
"ADRA1B",417.613234001313,-1.86968421882439,0.375150410618489,-4.98382559609079,6.23392734366962e-07,0.00140429603295064
"EEF1G",2104.66578600537,-1.29506725382013,0.262558904625536,-4.93248269628171,8.11909741734246e-07,0.00156768172418287
"NUP210L",597.911928239705,-1.62027063775677,0.334442895991725,-4.84468546701277,1.26812411174087e-06,0.0021424956867862
"BDNF-AS",1251.01589692676,-1.64319289553592,0.343389364764157,-4.78521778525225,1.70802026474014e-06,0.00234328938787742
"NRIP1",608.566018772979,1.1650722529375,0.243768855647777,4.77941388304715,1.75806953963729e-06,0.00234328938787742
"MAGI1-AS1",85.9971306369671,3.00413473344214,0.630719421742856,4.7630287412759,1.90708665778719e-06,0.00234328938787742
"THEM6",155.901759527586,-1.48324576873106,0.314412543592855,-4.71751461243155,2.38743258020139e-06,0.00268904489616684
"PDE8A",327.001772526455,1.78087284312048,0.381414493212111,4.66912735308699,3.02481833842029e-06,0.00294278772423937
"DGKI",3019.01645465045,-1.58110029059907,0.338743288243724,-4.66754721192136,3.04816721954359e-06,0.00294278772423937
"NDUFB2-AS1",79.7327823761622,-1.57459308388287,0.33858952538486,-4.65044830342315,3.31214264527679e-06,0.00298446133290407
"CD58",1226.01427127462,0.97968680371182,0.219078831309892,4.47184603758467,7.75472518230718e-06,0.00373814593957436
"PPM1H",306.893043252066,-1.11183781418765,0.249032259011146,-4.46463369284976,8.02058539861323e-06,0.00373814593957436
"ID3",320.4260050319,-1.56752093513351,0.347927678215908,-4.50530680160713,6.62771153094828e-06,0.00373814593957436
"GOLGA8B",380.181410204163,1.50005332867941,0.332598321381907,4.51010492911348,6.47955677258465e-06,0.00373814593957436
"GOLGA8A",589.538000813179,1.46243392915386,0.318961528330404,4.58498533289871,4.54018305819769e-06,0.00373814593957436
"TAX1BP3",553.560031531471,-1.3421143779071,0.297570163970906,-4.51024511327794,6.47527622218308e-06,0.00373814593957436
"FAM208B",301.902463717543,1.43754422052935,0.314037879744384,4.57761408177719,4.70309314013155e-06,0.00373814593957436
"RPS27",386.830362729029,-1.41527425717859,0.315290467864217,-4.48879494126694,7.16272035139302e-06,0.00373814593957436
"LEPROTL1",1335.8736435105,-1.26747083912983,0.282337594623376,-4.48920322077748,7.14900714005588e-06,0.00373814593957436
"ZNF90",1488.14046505787,-1.50195493365553,0.330752301748903,-4.54102639864853,5.59810208053438e-06,0.00373814593957436
"PGM1",632.057351233153,-1.077385118691,0.237853134232484,-4.52962338363778,5.90889196973596e-06,0.00373814593957436
"PRSS48",41.6000076264974,3.16438371665029,0.700237308268041,4.51901616678643,6.21276512659224e-06,0.00373814593957436
"NR6A1",490.122065895545,1.64113378357695,0.366280140152552,4.48054263300608,7.44535054910832e-06,0.00373814593957436
"RPS29",18063.3618570601,-1.38981834606332,0.310743534351326,-4.47255756733461,7.72895837627076e-06,0.00373814593957436
"OMG",139.566842066259,2.3991639964586,0.540751228148134,4.43672408230087,9.1338247421798e-06,0.00411509250717674
"USF3",175.878879721634,1.41461980872579,0.319833462737506,4.42298875364019,9.73448104912589e-06,0.00424423373741889
"RPS12",8644.46973762462,-0.974194399678419,0.223631213773838,-4.3562541348259,1.32307154122311e-05,0.00470595656609779
"RPL3",861.924590763234,-1.24972845015743,0.28661423653663,-4.36031533275812,1.29875148046219e-05,0.00470595656609779
"CA9",94.2425692512235,-1.84297721763408,0.419632496075723,-4.39188393384462,1.12372686543492e-05,0.00470595656609779
"KIZ-AS1",4471.50606938777,-1.22501796136334,0.280570899744522,-4.36616185954707,1.26448793232224e-05,0.00470595656609779
"RBM6",622.289373265134,1.848754674882,0.424119915177765,4.35903764176487,1.30635643796597e-05,0.00470595656609779
"MAGED2",1292.75113197705,-1.52712702486395,0.349202413231924,-4.37318577134146,1.22446442443744e-05,0.00470595656609779
"SELENOS",1320.45182338355,-1.006656863755,0.230206139755821,-4.37284976335886,1.2263512043749e-05,0.00470595656609779
"DNM1",163.813225422411,1.54528969455463,0.355319912580383,4.34900955404532,1.36753755133971e-05,0.00473939424202758
"TIMMDC1",466.635755175389,-1.03625697276905,0.241186000027314,-4.29650548809504,1.73511674493611e-05,0.00483100065700917
"SDHC",604.181535098728,-1.11063656691507,0.256613953070429,-4.32804433907866,1.50439188401163e-05,0.00483100065700917
"NDUFA1",1758.4240642445,-1.31321260069237,0.305794130630872,-4.29443363737273,1.75139858089264e-05,0.00483100065700917
"AGO4",189.276869040014,1.69012226828943,0.391794576595728,4.313796997842,1.60474309633759e-05,0.00483100065700917
"CD69",280.48932084426,-1.92452932825679,0.448060604779776,-4.29524333924137,1.74501820759595e-05,0.00483100065700917
"ETV6",392.36933188427,1.54467629380875,0.356289225327108,4.33545609579012,1.45458205752391e-05,0.00483100065700917
"EPHA5",828.654662263218,-1.4867877019435,0.345888252182406,-4.29846255998145,1.71986945386864e-05,0.00483100065700917
"TET3",276.008359600284,1.6310898818508,0.379751098087371,4.29515514258111,1.74571211252079e-05,0.00483100065700917
"SPP1",178.790056565904,-1.90839641769313,0.443153526852329,-4.30640015718314,1.65932772296537e-05,0.00483100065700917
"SRGAP2B",257.959202802131,1.997033613526,0.461033723143267,4.33164324707201,1.48000609565492e-05,0.00483100065700917
"ARHGEF4",96.4320682399925,1.73985643395803,0.406140911579979,4.28387385843401,1.83667068322854e-05,0.00486753744206214
"LDHA",5761.54983509798,-1.27090499172803,0.296666408086331,-4.28395314429464,1.83601594435889e-05,0.00486753744206214
"GPR55",138.143664939284,-1.24153558164925,0.290174607210237,-4.27858107084378,1.88088484318825e-05,0.0048807221372198
"ZCCHC7",652.056466462532,1.60536082447818,0.375548523340728,4.27470945750907,1.9138670706766e-05,0.0048807221372198
"KIZ",4594.11526297726,-1.1843472306462,0.277463945163694,-4.26847253954917,1.96816050905757e-05,0.00492623285933743
"PARK7",3326.81785833053,-1.00094098994776,0.235063734930555,-4.25816849308325,2.0610858013365e-05,0.00506502467106621
"TUBA1A",1654.63205846346,-1.4297977442639,0.33657821669516,-4.24804004936207,2.15648849946437e-05,0.00518846155517459
"MAML3",404.239517087839,1.64811949005839,0.388269806885008,4.24477891618933,2.18809047532518e-05,0.00518846155517459
"AFG3L1P",295.07582045074,1.42593647857349,0.336883461969289,4.23272923591449,2.30872395127034e-05,0.00538012291816722
"PSMC2",8146.25343819476,-1.57535837480004,0.372787987863173,-4.22588287736959,2.38005767107083e-05,0.00545234906477853
"KCNJ13",39.6371571259556,2.78821458367206,0.661388645598765,4.21569768732248,2.49007151347694e-05,0.00560930109602573
"STARD13",190.186592796112,1.44285594200857,0.345506560508575,4.17605946435498,2.96602315133597e-05,0.00657192933007492
"PPIP5K1",64.2024440326552,2.24301729534765,0.538378428753984,4.16624659449833,3.09655743239211e-05,0.00664334448511297
"NGRN",1037.20647428763,-0.977148944425224,0.234411928476852,-4.16851203253386,3.06594578487547e-05,0.00664334448511297
"LOC101926943",61.6996662153641,2.45248738900223,0.589489102049847,4.16036086243854,3.17745144786512e-05,0.00671038027646015
"DNAJB9",323.772016027814,-1.4273198838857,0.344391794353128,-4.1444654236511,3.40607341592559e-05,0.00708253665994619
"SLC5A2",141.824452615639,-1.22290598295,0.295725189746276,-4.13527837787245,3.54524611668239e-05,0.00723531664962575
"ANKRD36",231.517282207756,1.82988721512508,0.443156891971175,4.12920852248442,3.6401415520461e-05,0.00723531664962575
"RPL31",15809.2021663972,-1.16352545907177,0.281753186917833,-4.12959112122157,3.63408951907934e-05,0.00723531664962575
"FTH1",3901.72708213689,-1.38790627843573,0.336587544365942,-4.1234629791493,3.73218468229559e-05,0.00731075480665321
"BEST1",3889.56849251823,-1.38563245583789,0.337177490030627,-4.10950462829541,3.96508768247382e-05,0.00765601787375945
"LRRC17",34.7465578903509,2.25592192245386,0.550042356643711,4.10136036835274,4.10728324452111e-05,0.00781887892013343
"CALM2",6216.74498462199,-1.22101502818108,0.299191331873643,-4.08105081298527,4.48325516622352e-05,0.00841606622592737
"OLFML3",33.192149426135,-2.69731757055864,0.662686682943258,-4.07027580300658,4.69575123570944e-05,0.00869421557559572
"CEP350",545.237965823666,1.02330291928,0.252090159808858,4.05927355536565,4.9225618538534e-05,0.00887111280222434
"PCDHGA11",57.5271954144853,1.81891736866758,0.448065769134891,4.05948745466425,4.91805500071662e-05,0.00887111280222434
"LOC105372273",53.6435677656992,2.43786742119451,0.60260306511094,4.04556093777203,5.21979848775109e-05,0.00928299952111101
"TNPO3",631.197015357499,1.09557041873106,0.271355933860146,4.03739252407765,5.40485928139852e-05,0.0093186570888396
"B4GALT5",3610.1595328369,-0.967215800351963,0.239453996093135,-4.03925520614727,5.36211976531157e-05,0.0093186570888396
"TRIM74",317.214066615774,1.7925088024738,0.444175907170502,4.03558314068063,5.44668474414271e-05,0.0093186570888396
"SEMA6D",369.762471634094,-1.28123398458072,0.318257789845875,-4.02577415371732,5.67881741332597e-05,0.00959436201981423
"NPIPB4",111.421385252096,1.73501017370779,0.43278843902857,4.00891062987303,6.09994947818363e-05,0.0101786317465592
"LOC105373557",81.2042278744349,-1.44203371999079,0.360315156254178,-4.00214560770108,6.27706471634935e-05,0.0102285137544156
"ABCA3",377.483941814512,-1.1004586133421,0.274977857041986,-4.00198992449809,6.28119740763908e-05,0.0102285137544156
"TBC1D3P1-DHX40P1",567.113005085112,-1.02191270127977,0.25556024183533,-3.9987155041833,6.36871770580085e-05,0.0102475700609053
"LINC-PINT",320.063623295186,1.61917857341103,0.405801106157842,3.99007925025524,6.60512220090153e-05,0.0105029213726335
"FBXL12",331.583588582178,-1.06091771658833,0.266202803242842,-3.98537394672178,6.73739367479272e-05,0.0105886759195928
"FAH",112.363931996323,-1.14518990857225,0.287578621776907,-3.98218025212127,6.82859586130756e-05,0.0106086553633831
"IFITM1",166.721324159866,-1.97244494654934,0.495758293270826,-3.97864236125208,6.93099061915733e-05,0.0106453715009694
"RPL12",2207.02016806305,-0.920063963538237,0.231553807171739,-3.97343483476324,7.08435464658279e-05,0.0106810105008824
"EXOC6",553.691922101012,1.22466153484961,0.308489293010412,3.96986722909789,7.19126927774713e-05,0.0106810105008824
"RNFT1-DT",561.503319960538,-1.04621952377219,0.263499301857945,-3.97048309576248,7.17270453662782e-05,0.0106810105008824
"TNFAIP8L3",59.9226611705896,2.31450765546024,0.583761727590764,3.96481568775058,7.34526796445866e-05,0.0107911567182199
"STAG3L1",294.459647397102,1.79488881307441,0.455084756770301,3.9440758811888,8.01082915503725e-05,0.0116424050386541
"GTF2IP7",34.2656457053541,2.18270344283244,0.553843119671743,3.9410139176706,8.11379177759627e-05,0.0116665967729778
"RPS3",7128.61804988673,-0.859582738290904,0.218315905690122,-3.93733445840176,8.23917332445533e-05,0.0116914420199454
"CAPN8",348.270317456964,1.51077476883294,0.384131608076087,3.93296135248962,8.390573216445e-05,0.0116914420199454
"RPL11",3240.58141359611,-0.958688446343243,0.243687516962345,-3.93408927258011,8.35127419982695e-05,0.0116914420199454
"RPL10",3298.30201771844,-1.30531536455309,0.332683602674163,-3.92359393147351,8.72377293947925e-05,0.0120316852091838
"LOC100996643",67.3016714859884,2.51304475791351,0.642347977706417,3.91227939548693,9.14290459172868e-05,0.0124823735820005
"DUSP1",143.214203273784,-2.0245023432378,0.517884268505161,-3.90917907022237,9.26102981792247e-05,0.012517207901904
"SERPINA1",144.555506281959,-1.65523054740766,0.42441261280154,-3.90005032244803,9.61726963377682e-05,0.0128700016208047
"RPL23P8",117.126427529311,-1.99388243336665,0.512371460366242,-3.89147832695723,9.96352904279864e-05,0.0129487556290833
"BTBD9",279.229112876815,1.50979812522929,0.38753250904957,3.89592638029801,9.78241021447483e-05,0.0129487556290833
"SIPA1L3",315.239438615001,1.57438885902324,0.404564951969108,3.89156018424319,9.96016751660617e-05,0.0129487556290833
"RUFY3",173.572408472072,1.40201938184579,0.362703355528906,3.86547121903882,0.000110874923841656,0.0140380088259176
